City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
344,mkokotoni,0,TZ,1529881023,98,-5.88,39.25,78.69,14.2
345,bozova,20,TR,1529878800,47,37.36,38.53,77.0,9.17
346,edd,76,ER,1529881024,40,13.93,41.69,80.85,2.35
347,tadine,0,NC,1529880507,96,-21.55,167.88,72.75,12.19
348,primorsk,0,RU,1529881025,92,60.37,28.62,55.29,10.29
349,zabid,56,YE,1529881026,29,14.2,44.5,59.61,2.68
350,cooma,0,AU,1529881027,83,-36.24,149.13,39.81,3.8
351,hamilton,20,BM,1529877300,78,32.3,-64.78,80.6,13.87
352,honiara,75,SB,1529877600,88,-9.43,159.96,77.0,4.7
353,whitehorse,40,CA,1529877600,29,60.72,-135.06,62.6,9.17
354,petropolis,0,BR,1529877600,73,-22.5,-43.18,78.8,4.7
355,eureka,75,US,1529880000,82,40.8,-124.16,60.8,14.99
356,port hardy,90,CA,1529877600,87,50.7,-127.42,57.2,6.93
357,seoul,75,KR,1529877600,83,37.57,126.98,73.4,4.7
358,jaen,24,PE,1529881030,88,-5.71,-78.81,62.76,1.57
359,new glasgow,88,CA,1529881031,93,45.59,-62.65,55.65,5.59
360,kalangala,68,UG,1529881031,100,-0.32,32.29,74.82,3.58
361,severo-kurilsk,12,RU,1529881031,93,50.68,156.12,47.73,4.92
362,omboue,36,GA,1529880544,100,-1.57,9.26,74.82,8.5
363,belmonte,0,PT,1529881032,87,40.36,-7.35,68.61,3.8
364,itoman,75,JP,1529879040,88,26.12,127.67,82.4,8.05
365,kahului,20,US,1529877360,62,20.89,-156.47,84.2,20.8
366,margate,40,AU,1529877600,70,-43.03,147.26,48.2,9.17
367,jizan,0,SA,1529877600,56,16.89,42.56,93.2,5.82
368,dunedin,0,NZ,1529880843,71,-45.87,170.5,41.79,19.24
369,skala fourkas,20,GR,1529878800,60,40.0,23.38,68.0,3.36
370,progreso,0,UY,1529877600,76,-34.68,-56.22,42.8,6.26
371,tura,92,IN,1529880603,100,25.52,90.21,74.46,2.01
372,pasni,0,PK,1529881035,97,25.26,63.48,84.72,9.17
373,ahipara,92,NZ,1529881035,100,-35.17,173.16,52.5,19.01
374,elizabeth city,40,US,1529879700,46,36.3,-76.22,93.2,5.37
375,mitsamiouli,20,KM,1529877600,73,-11.38,43.28,73.4,6.93
376,cascais,20,PT,1529879400,82,38.7,-9.42,66.2,9.17
377,xinmin,0,CN,1529877600,65,42.0,122.83,77.0,4.47
378,iracoubo,80,GF,1529881037,89,5.48,-53.21,77.43,3.24
379,coffs harbour,0,AU,1529877600,76,-30.3,153.13,55.4,8.05
380,paamiut,88,GL,1529881038,100,61.99,-49.67,38.01,13.65
381,sibolga,48,ID,1529880458,100,1.74,98.78,67.08,2.46
